Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.66,AMD Ryzen 3,35900,4.1,15.6,Windows 11
ASUS,Vivobook ,13th Gen,8 GB,512 GB,Blue,1.61,Intel Core i3,35990,4,15.6,Windows 11
SAMSUNG,Galaxy Book4 ,13th Gen,16 GB,512 GB,Gray,1.63,Intel Core i5,53290,4.1,15.6,Windows 11
LENOVO,14,13th Gen,6 GB,512 GB,Grey,1.55,AMD Ryzen 5,66990,4.2,15.6,Windows 11
LENOVO,14,13th Gen,24 GB,512 GB,Grey,1.4,Intel Core i5,48360,1,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Grey,1.5,Intel Core i3,35950,4,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.66,Intel Core i5,47950,5,14,Windows 11
LENOVO,Tab Plus with Octa ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 5,18998,4.5,11.5,Android 14
ASUS,TUF Gaming F15 13th ,13th Gen,6 GB,512 GB,Gray,1.61,Intel Core i7,92990,3.8,15.6,Windows 11
LENOVO,V15 AMD Ryzen 7 ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 7,42490,4.1,15.6,Windows 11
MSI,Katana ,14th Gen,16 GB,512 GB,Black,1.63,Intel Core i5,109990,4.8,40,Windows 11
APPLE,2025 MacBook Air ,13th Gen,16 GB,512 GB,Blue,1.63,Intel Core i5,93900,4.6,20.02,Windows 11
LENOVO,IdeaPad Slim 3 13th ,13th Gen,24 GB,512 GB,Grey,1.55,Intel Core i5,64690,4.3,15.3,Windows 11
LENOVO,LOQ 2025 AMD Ryzen ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 7,112990,3.78,15.6,Windows 11
LENOVO,V15 AMD Ryzen 3 ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 3,29990,3.9,15.6,Windows 11
LENOVO,V15 Thin ,12th Gen,16 GB,512 GB,Black,1.55,Intel Core i5,43990,3.7,15.6,Windows 11
MICROSOFT,New Surface Pro ,13th Gen,16 GB,256 GB,Grey,1.63,Intel Core i5,89990,3,12,Windows 11
MICROSOFT,New Surface Pro ,13th Gen,16 GB,512 GB,Grey,1.63,Intel Core i5,98990,2,12,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.45,Intel Core i5,42790,4.2,35.56,Windows 11
LENOVO,14,13th Gen,12 GB,512 GB,Grey,1.55,AMD Ryzen 5,30999,4.4,12.7,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.88,Intel Core i5,55890,4.1,15.28,Windows 11
