Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
ASUS,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.61,Intel Core i3,35990,4.1,15.6,Windows 11
LENOVO,Yoga Tab Plus Smartchoice ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,52999,4.2,12.7,Windows 11
MICROSOFT,New Surface Pro ,11th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,96828,2,12,Windows 11
LENOVO,V15 Intel Celeron N4500 ,13th Gen,8 GB,256 GB,Black,1.7,Intel Celeron,23999,3.8,15.6,Windows 11
ASUS,Zenbook ,13th Gen,16 GB,512 GB,Blue,1.28,AMD Ryzen 7,95990,4,14,Windows 11
ASUS,Vivobook ,13th Gen,4 GB,512 GB,Silver,1.61,Intel Core i7,73990,3.2,16,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.7,Intel Core i5,56990,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,2799,4.3,24.28,Windows 11
LENOVO,14,13th Gen,4 GB,512 GB,Grey,1.58,AMD Ryzen 7,71290,4.2,15.6,Windows 11
LENOVO,Yoga Slim 7 ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,114990,4.3,14,Windows 11
ASUS,Chromebook ,13th Gen,8 GB,512 GB,Blue,1.61,Intel Celeron,24990,3.7,14,Chrome OS
ACER,Aspire 19V ,13th Gen,16 GB,512 GB,Gray,1.67,Intel Core i3,1399,3.87647058823529,19.5,Windows 11
LENOVO,Smartchoice Ideapad 5 2-in-1 ,13th Gen,16 GB,512 GB,Grey,1.6,Intel Core i5,70990,4,35.5,Windows 11
APPLE,2025 MacBook Air ,13th Gen,16 GB,512 GB,Blue,1.62,Intel Core i5,94990,4.6,38.91,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Grey,1.36,AMD Ryzen 5,29490,4.2,14,Windows 11
